label,max_eig,min_eig,W_Q,neg_W_12,neg_W_3,ratio_max,ratio_min,lam_max_MQ
Haar-0,-8.5760553553,-11.3663146866,93.1547386541,-7.7628948878,-31.0515795514,1.1047496429,0.3660462640,13.9923552149
Haar-1,-8.6662906368,-11.4225547229,92.7524712259,-7.7293726022,-30.9174904086,1.1212152762,0.3694528428,13.8646047143
Haar-2,-8.4661524427,-11.3175491680,99.2966009192,-8.2747167433,-33.0988669731,1.0231350154,0.3419316189,14.2200235107
Haar-3,-8.5411183490,-10.9686064520,96.1565582436,-8.0130465203,-32.0521860812,1.0659015054,0.3422108690,14.0877894321
Haar-4,-8.7638901316,-11.3850109521,95.1622947474,-7.9301912290,-31.7207649158,1.1051297350,0.3589135061,13.8052772048
Haar-5,-8.9211158667,-11.6738831509,93.3291213907,-7.7774267826,-31.1097071302,1.1470523756,0.3752488926,14.1415710870
Haar-6,-8.5196054862,-11.2979716160,99.9259473458,-8.3271622788,-33.3086491153,1.0231102987,0.3391903279,13.9282826116
Haar-7,-8.7027041311,-10.8380961380,95.0097742149,-7.9174811846,-31.6699247383,1.0991758525,0.3422204577,13.9223746845
Haar-8,-8.3540386589,-11.6787544625,93.7285854353,-7.8107154529,-31.2428618118,1.0695612597,0.3738055282,14.1491526516
Haar-9,-8.7516148999,-11.4495975248,91.2152243352,-7.6012686946,-30.4050747784,1.1513360797,0.3765686356,13.9409924962
Haar-10,-8.6380486582,-11.7589589307,98.0339589050,-8.1694965754,-32.6779863017,1.0573538502,0.3598434378,13.9117775384
Haar-11,-8.8437575479,-11.7846481294,93.4336750053,-7.7861395838,-31.1445583351,1.1358334195,0.3783854631,13.9717209847
Haar-12,-8.6508425092,-11.4099221840,103.8379045734,-8.6531587144,-34.6126348578,0.9997323283,0.3296461605,13.9914600091
Haar-13,-8.0409542418,-11.2445932789,94.5589654332,-7.8799137861,-31.5196551444,1.0204368296,0.3567486138,14.0627528745
Haar-14,-8.7964317278,-11.3997117519,94.1504605896,-7.8458717158,-31.3834868632,1.1211541619,0.3632391710,13.8196247510
Haar-15,-8.5950080112,-11.0040555128,96.6392912799,-8.0532742733,-32.2130970933,1.0672687555,0.3416019106,13.9814314832
Haar-16,-8.6602831214,-11.1031541741,89.7828769995,-7.4819064166,-29.9276256665,1.1574968516,0.3710001688,13.9882036634
Haar-17,-8.3160624310,-11.2036307375,85.9341256705,-7.1611771392,-28.6447085568,1.1612703148,0.3911239214,14.1036139229
Haar-18,-7.9447060663,-11.4651781969,93.9386983649,-7.8282248637,-31.3128994550,1.0148796444,0.3661487245,13.9472738790
Haar-19,-8.8830988866,-11.4286598023,96.1963554842,-8.0163629570,-32.0654518281,1.1081208441,0.3564166151,14.1069962207
Haar-20,-8.2472473595,-11.7917017301,98.1046482383,-8.1753873532,-32.7015494128,1.0087897984,0.3605854139,13.8652232370
Haar-21,-9.0342349879,-11.5787745035,94.3488364035,-7.8624030336,-31.4496121345,1.1490424682,0.3681690717,13.9125549597
Haar-22,-8.5719885351,-11.3562531219,92.0487238173,-7.6707269848,-30.6829079391,1.1174936290,0.3701165856,13.8199147353
Haar-23,-8.4926628825,-11.0482659615,97.2072527753,-8.1006043979,-32.4024175918,1.0483986707,0.3409704208,13.8926036539
Haar-24,-8.3718603606,-10.7431741040,103.7061654941,-8.6421804578,-34.5687218314,0.9687208456,0.3107773020,14.0969149441
Haar-25,-8.3770106804,-11.5603163625,98.4722324805,-8.2060193734,-32.8240774935,1.0208373024,0.3521901374,14.2047066221
Haar-26,-8.6173777633,-11.4580370739,93.4322328899,-7.7860194075,-31.1440776300,1.1067757878,0.3679042035,13.8333156058
Haar-27,-8.9598461506,-11.8280548683,92.3425009289,-7.6952084107,-30.7808336430,1.1643409343,0.3842668787,13.9851672499
Haar-28,-8.6932196983,-11.6102355628,102.3934338417,-8.5327861535,-34.1311446139,1.0188020117,0.3401654323,13.9167797157
Haar-29,-8.7004445221,-11.2783237026,99.2709058613,-8.2725754884,-33.0903019538,1.0517213816,0.3408347170,14.0361978866
Haar-30,-8.9656512695,-11.3683946526,92.7181404061,-7.7265117005,-30.9060468020,1.1603750330,0.3678372302,13.6820383363
Haar-31,-8.6754870547,-11.8307230743,96.6416911043,-8.0534742587,-32.2138970348,1.0772353367,0.3672552582,14.0008493679
Haar-32,-8.7002382195,-11.4474996761,105.8024957371,-8.8168746448,-35.2674985790,0.9867712279,0.3245906327,13.7770358377
Haar-33,-8.4828825848,-11.4292428335,88.2989937969,-7.3582494831,-29.4329979323,1.1528397623,0.3883139210,14.0014229010
Haar-34,-8.5660401356,-11.3316088297,99.9224724694,-8.3268727058,-33.3074908231,1.0287223593,0.3402120229,14.1204294133
Haar-35,-8.4799965483,-11.3406338140,97.0119001216,-8.0843250101,-32.3373000405,1.0489430519,0.3506982277,13.9532776310
Haar-36,-8.2841340349,-11.2491613193,93.0586218892,-7.7548851574,-31.0195406297,1.0682471586,0.3626475793,13.7690057350
Haar-37,-8.2230861693,-11.3467797475,97.5785484954,-8.1315457080,-32.5261828318,1.0112574490,0.3488506415,14.1435630688
Haar-38,-8.3186278197,-11.2383752410,87.7115199855,-7.3092933321,-29.2371733285,1.1380892026,0.3843865176,13.8258065544
Haar-39,-8.5968659382,-10.8965115084,95.3228643621,-7.9435720302,-31.7742881207,1.0822418309,0.3429348745,13.8403146883
Haar-40,-8.2916061800,-11.7625144956,93.0807819254,-7.7567318271,-31.0269273085,1.0689561486,0.3791066508,13.9369842428
Haar-41,-8.5208362349,-11.9759500786,98.6358143806,-8.2196511984,-32.8786047935,1.0366420702,0.3642475146,14.0275045629
Haar-42,-7.4953066790,-10.8351337369,99.3968022508,-8.2830668542,-33.1322674169,0.9048951084,0.3270266294,13.8646748832
Haar-43,-8.3533811470,-11.7372017298,97.9207065398,-8.1600588783,-32.6402355133,1.0236912835,0.3595930466,14.1362028705
Haar-44,-8.4636788150,-11.3599426773,96.6735338733,-8.0561278228,-32.2245112911,1.0505889431,0.3525249018,13.8877088461
Haar-45,-9.0558701915,-11.5115684784,92.3900119595,-7.6991676633,-30.7966706532,1.1762141815,0.3737926287,14.1287218762
Haar-46,-8.3479477914,-11.3067966586,90.2745066432,-7.5228755536,-30.0915022144,1.1096751145,0.3757471654,14.0530212343
Haar-47,-8.3037716460,-11.3657039691,101.7282949212,-8.4773579101,-33.9094316404,0.9795235419,0.3351782504,14.0004355628
Haar-48,-8.6699843324,-11.1403767746,99.8422902634,-8.3201908553,-33.2807634211,1.0420415208,0.3347392196,14.1815205793
Haar-49,-8.3017389418,-11.3187590958,93.0268518403,-7.7522376534,-31.0089506134,1.0708829261,0.3650158703,13.9399334029
Gibbs-b0.5-0,-8.9629933493,-11.4512556345,83.9052632318,-6.9921052693,-27.9684210773,1.2818733420,0.4094351842,13.9440026114
Gibbs-b0.5-1,-8.3326296566,-11.2880250939,79.4941967217,-6.6245163935,-26.4980655739,1.2578472392,0.4259943075,14.1676232046
Gibbs-b0.5-2,-8.5388836828,-11.2747463833,86.5948713839,-7.2162392820,-28.8649571280,1.1832872150,0.3906032610,14.1564975032
Gibbs-b0.5-3,-8.8603096067,-11.5365280698,88.0535363258,-7.3377946938,-29.3511787753,1.2074894401,0.3930516099,13.9902001504
Gibbs-b0.5-4,-9.1598071469,-11.5766492191,83.5582687255,-6.9631890605,-27.8527562418,1.3154615030,0.4156374730,14.0654650114
Gibbs-b0.5-5,-8.1868857203,-10.8576019830,80.9629309187,-6.7469109099,-26.9876436396,1.2134272750,0.4023175246,14.1332280430
Gibbs-b0.5-6,-8.3105726966,-11.0271901536,87.1826572833,-7.2652214403,-29.0608857611,1.1438842938,0.3794512750,14.1268122232
Gibbs-b0.5-7,-8.1708751949,-11.4047392200,93.8879146231,-7.8239928853,-31.2959715410,1.0443357138,0.3644155672,14.0828311520
Gibbs-b0.5-8,-8.6828631500,-11.6327440868,86.5211323295,-7.2100943608,-28.8403774432,1.2042648425,0.4033492318,13.8464447395
Gibbs-b0.5-9,-8.4080683936,-11.4106275161,81.3907517831,-6.7825626486,-27.1302505944,1.2396595253,0.4205868824,13.8043629800
Gibbs-b0.5-10,-8.5608611374,-11.4470169598,73.5337099097,-6.1278091591,-24.5112366366,1.3970508733,0.4670109929,13.8778487321
Gibbs-b0.5-11,-8.2515138806,-11.3734776701,86.9916327439,-7.2493027287,-28.9972109146,1.1382493171,0.3922266077,14.0484987890
Gibbs-b0.5-12,-8.3948611494,-11.3291033330,71.0410793665,-5.9200899472,-23.6803597888,1.4180293246,0.4784177029,13.8759392689
Gibbs-b1.0-0,-8.8312429593,-11.3694019761,74.0347965455,-6.1695663788,-24.6782655152,1.4314203652,0.4607050673,13.9823988728
Gibbs-b1.0-1,-7.8764354262,-10.9317986451,63.0982856764,-5.2581904730,-21.0327618921,1.4979364986,0.5197509819,13.9140732363
Gibbs-b1.0-2,-8.3435527911,-11.4661882459,74.2009008257,-6.1834084021,-24.7336336086,1.3493452556,0.4635868885,14.1312092458
Gibbs-b1.0-3,-8.8156283245,-11.1121316542,68.5631549644,-5.7135962470,-22.8543849881,1.5429211207,0.4862144249,14.1699022332
Gibbs-b1.0-4,-7.9527062087,-11.1767666400,76.0285477443,-6.3357123120,-25.3428492481,1.2552189583,0.4410224963,13.8361200505
Gibbs-b1.0-5,-8.2161064226,-10.7143699547,70.2444056905,-5.8537004742,-23.4148018968,1.4035747915,0.4575896052,13.9014200149
Gibbs-b1.0-6,-8.6064810994,-11.3951477376,69.0493041702,-5.7541086808,-23.0164347234,1.4957105569,0.4950874397,13.9161643322
Gibbs-b1.0-7,-8.4578140774,-11.3099432842,63.1167629882,-5.2597302490,-21.0389209961,1.6080319098,0.5375724015,14.0525909184
Gibbs-b1.0-8,-8.5641027180,-10.6766705645,67.4378977103,-5.6198248092,-22.4792992368,1.5239091980,0.4749556671,14.1035222508
Gibbs-b1.0-9,-8.5832547768,-11.4438861440,75.8162272641,-6.3180189387,-25.2720757547,1.3585357784,0.4528273125,13.9112472094
Gibbs-b1.0-10,-8.6868653601,-11.3436825505,78.4399629058,-6.5366635755,-26.1466543019,1.3289448447,0.4338483394,13.8561295291
Gibbs-b1.0-11,-8.5865624944,-11.3566726348,72.7290604193,-6.0607550349,-24.2430201398,1.4167479868,0.4684512313,13.9128354736
Gibbs-b1.0-12,-9.2473729412,-11.4580638416,71.3372292356,-5.9447691030,-23.7790764119,1.5555478743,0.4818548729,14.0851175834
Gibbs-b2.0-0,-8.1295219081,-10.6072844176,39.4560052237,-3.2880004353,-13.1520017412,2.4724820048,0.8065148277,14.6207849508
Gibbs-b2.0-1,-8.5164008492,-11.0563921583,43.7809881914,-3.6484156826,-14.5936627305,2.3342737205,0.7576159846,14.2210753302
Gibbs-b2.0-2,-8.4404836175,-11.1173670171,50.0054571011,-4.1671214251,-16.6684857004,2.0254950016,0.6669692267,14.3132060638
Gibbs-b2.0-3,-8.3824155621,-11.1930533414,61.7665021629,-5.1472085136,-20.5888340543,1.6285362328,0.5436467802,13.9159141768
Gibbs-b2.0-4,-9.0478105213,-11.1340103791,49.1773202789,-4.0981100232,-16.3924400930,2.2078007838,0.6792161701,14.2145185481
Gibbs-b2.0-5,-8.5960375524,-11.0889005138,46.7168407067,-3.8930700589,-15.5722802356,2.2080356691,0.7120922785,14.2204356232
Gibbs-b2.0-6,-8.5014255560,-11.6930016508,60.2203760527,-5.0183646711,-20.0734586842,1.6940629295,0.5825105596,13.8948686038
Gibbs-b2.0-7,-7.8619868297,-11.0202754504,49.4555258062,-4.1212938172,-16.4851752687,1.9076501648,0.6684961046,14.1635292853
Gibbs-b2.0-8,-8.5547477799,-10.9508341676,54.2290540811,-4.5190878401,-18.0763513604,1.8930253367,0.6058099862,13.9590589322
Gibbs-b2.0-9,-8.3475908165,-10.8753777369,41.7732685093,-3.4811057091,-13.9244228364,2.3979710799,0.7810289780,14.5916993408
Gibbs-b2.0-10,-8.1400204364,-10.8595097459,55.9398082782,-4.6616506898,-18.6466027594,1.7461669649,0.5823854289,13.7662294468
Gibbs-b2.0-11,-8.1107852406,-11.7422365325,47.2328222636,-3.9360685220,-15.7442740879,2.0606311083,0.7458099667,14.3436448094
Gibbs-b4.0-0,-6.8073251257,-10.9444396569,19.1170130715,-1.5930844226,-6.3723376905,4.2730473219,1.7174921023,15.1072847780
Gibbs-b4.0-1,-7.7378901293,-10.4203128972,25.1513241456,-2.0959436788,-8.3837747152,3.6918406766,1.2429142303,15.0397516887
Gibbs-b4.0-2,-8.0292052090,-11.0538031576,28.4815697153,-2.3734641429,-9.4938565718,3.3829056288,1.1643111600,15.0556912661
Gibbs-b4.0-3,-7.9360293714,-10.9282162765,19.6863459957,-1.6405288330,-6.5621153319,4.8374824093,1.6653496203,15.2149174102
Gibbs-b4.0-4,-6.6062012421,-10.7457509381,19.7060382678,-1.6421698557,-6.5686794226,4.0228489272,1.6359073486,15.1495562842
Gibbs-b4.0-5,-9.2853256957,-11.1224834761,26.8552323057,-2.2379360255,-8.9517441019,4.1490576987,1.2424934571,15.1799643381
Gibbs-b4.0-6,-8.2475870269,-11.0711871747,29.2287659959,-2.4357304997,-9.7429219986,3.3860835704,1.1363312953,14.7501817270
Gibbs-b4.0-7,-8.2976431777,-10.4169258559,20.8854143962,-1.7404511997,-6.9618047987,4.7675241795,1.4962967445,14.9083344622
Gibbs-b4.0-8,-8.0659805386,-11.0930428857,36.7965739471,-3.0663811623,-12.2655246490,2.6304559387,0.9044083480,14.3326543284
Gibbs-b4.0-9,-7.9277545158,-10.8438063484,20.8758655097,-1.7396554591,-6.9586218366,4.5570831133,1.5583267209,15.2827772855
Gibbs-b4.0-10,-8.1924832358,-11.1709773488,20.6160899440,-1.7180074953,-6.8720299813,4.7685957471,1.6255716839,15.1495045457
Gibbs-b4.0-11,-8.1008475468,-10.7092753380,25.3327085935,-2.1110590495,-8.4442361978,3.8373382065,1.2682349341,14.8642089105
NearI-eps0.010-0,-0.0014728796,-0.0033020274,0.0131002299,-0.0010916858,-0.0043667433,1.3491789990,0.7561762005,15.9997392681
NearI-eps0.010-1,-0.0019099806,-0.0038816668,0.0157202752,-0.0013100229,-0.0052400917,1.4579749097,0.7407631416,15.9996892179
NearI-eps0.010-2,-0.0015166854,-0.0032666032,0.0133668801,-0.0011139067,-0.0044556267,1.3615910541,0.7331411288,15.9997193055
NearI-eps0.010-3,-0.0020362813,-0.0039798865,0.0164074078,-0.0013672840,-0.0054691359,1.4892892125,0.7276993132,15.9996190881
NearI-eps0.100-0,-0.1689504763,-0.3339720774,1.3239072925,-0.1103256077,-0.4413024308,1.5313804271,0.7567873052,15.9729053473
NearI-eps0.100-1,-0.1702243406,-0.3774130022,1.5068289887,-0.1255690824,-0.5022763296,1.3556230355,0.7514051130,15.9639509841
NearI-eps0.100-2,-0.1718016070,-0.3964698075,1.4980372975,-0.1248364415,-0.4993457658,1.3762135878,0.7939785108,15.9719265490
NearI-eps0.100-3,-0.1636403739,-0.3204932535,1.2041596523,-0.1003466377,-0.4013865508,1.6307509418,0.7984653519,15.9740056327
NearI-eps0.500-0,-3.8634186066,-6.6877018376,37.9840370641,-3.1653364220,-12.6613456880,1.2205396493,0.5281983450,15.1036187137
NearI-eps0.500-1,-3.2054995262,-5.4502523447,26.7565619920,-2.2297134993,-8.9188539973,1.4376284339,0.6110933475,15.2597353066
NearI-eps0.500-2,-2.7965631226,-5.7104045986,30.8392922063,-2.5699410172,-10.2797640688,1.0881818314,0.5554995777,15.2946016503
NearI-eps0.500-3,-3.4835329050,-5.6023045480,27.0344926333,-2.2528743861,-9.0114975444,1.5462614900,0.6216840786,15.2520032009
NearI-eps1.000-0,-7.6924097063,-11.0623160646,75.2286044017,-6.2690503668,-25.0762014672,1.2270454465,0.4411479976,14.3350086188
NearI-eps1.000-1,-7.4771901733,-10.8834547835,78.6642686266,-6.5553557189,-26.2214228755,1.1406231018,0.4150596570,14.0689438518
NearI-eps1.000-2,-7.2043003033,-10.2899837225,78.9688425184,-6.5807368765,-26.3229475061,1.0947558668,0.3909130511,14.2570230928
NearI-eps2.000-0,-7.8294292282,-11.2816843057,96.5961231328,-8.0496769277,-32.1987077109,0.9726389392,0.3503769284,14.1298702030
NearI-eps2.000-1,-9.0072376285,-11.3896190369,95.1197970204,-7.9266497517,-31.7065990068,1.1363234040,0.3592191971,13.9470558951
