galaxy,galaxy_raw_chae2020,x0_chae2020,x0_missing_flag,eenv,eenv_err_lo,eenv_err_hi
CamB,CamB,-11.736,0,0.021,0.003,0.004
D512-2,D512-2,-11.423,0,0.035,0.005,0.006
D564-8,D564-8,-11.987,0,0.028,0.004,0.005
D631-7,D631-7,-11.41,0,0.023,0.003,0.004
DDO064,DDO 064,-11.08,0,0.029,0.005,0.006
DDO154,DDO 154,-11.526,0,0.03,0.005,0.006
DDO161,DDO 161,-11.281,0,0.031,0.008,0.011
DDO168,DDO 168,-10.931,0,0.028,0.004,0.005
DDO170,DDO 170,-11.461,0,0.049,0.007,0.008
ESO079-G014,ESO 079-G014,-10.517,0,0.014,0.002,0.002
ESO116-G012,ESO 116-G012,-10.715,0,0.016,0.003,0.003
ESO444-G084,ESO 444-G084,-11.071,0,0.031,0.007,0.009
ESO563-G021,ESO 563-G021,-10.059,0,0.034,0.012,0.018
F565-V2,F565-V2,-11.436,0,0.012,0.003,0.003
F568-3,F568-3,-11.252,0,0.008,0.002,0.002
F568-V1,F568-V1,-10.954,0,0.006,0.003,0.005
F571-8,F571-8,-10.73,0,0.005,0.002,0.003
F571-V1,F571-V1,-11.479,0,0.009,0.002,0.002
F574-1,F574-1,-11.066,0,0.01,0.001,0.001
F583-1,F583-1,-11.337,0,0.014,0.002,0.002
F583-4,F583-4,-11.358,0,0.012,0.002,0.002
IC2574,IC 2574,-11.722,0,0.016,0.001,0.001
IC4202,IC 4202,-9.998,0,0.026,0.012,0.024
KK98-251,KK98-251,-11.423,0,0.027,0.002,0.002
NGC0024,NGC 0024,-10.096,0,0.027,0.004,0.005
NGC0055,NGC 0055,-11.11,0,0.029,0.003,0.004
NGC0100,NGC 0100,-10.989,0,0.016,0.001,0.002
NGC0247,NGC 0247,-10.915,0,0.015,0.003,0.003
NGC0289,NGC 0289,-11.225,0,0.006,0.001,0.001
NGC0300,NGC 0300,-11.083,0,0.026,0.005,0.006
NGC0801,NGC 0801,-10.204,0,0.035,0.008,0.01
NGC0891,NGC 0891,-10.025,0,0.027,0.003,0.003
NGC1003,NGC 1003,-11.25,0,0.017,0.003,0.003
NGC1090,NGC 1090,-10.626,0,0.023,0.004,0.005
NGC2403,NGC 2403,-10.435,0,0.014,0.002,0.002
NGC2683,NGC 2683,-10.612,0,0.023,0.003,0.004
NGC2841,NGC 2841,-9.797,0,0.014,0.002,0.002
NGC2903,NGC 2903,-10.616,0,0.022,0.004,0.005
NGC2915,NGC 2915,-11.531,0,0.028,0.007,0.01
NGC2955,NGC 2955,-9.783,0,0.017,0.002,0.002
NGC2976,NGC 2976,-10.365,0,0.017,0.002,0.002
NGC2998,NGC 2998,-10.488,0,0.005,0.001,0.002
NGC3109,NGC 3109,-11.513,0,0.021,0.004,0.006
NGC3198,NGC 3198,-10.613,0,0.026,0.004,0.005
NGC3521,NGC 3521,-9.407,0,0.025,0.004,0.004
NGC3726,NGC 3726,-10.485,0,0.031,0.004,0.005
NGC3741,NGC 3741,-11.765,0,0.027,0.003,0.003
NGC3769,NGC 3769,-10.927,0,0.026,0.004,0.004
NGC3877,NGC 3877,-10.082,0,0.026,0.006,0.008
NGC3893,NGC 3893,-10.297,0,0.02,0.005,0.007
NGC3917,NGC 3917,-10.601,0,0.027,0.004,0.005
NGC3949,NGC 3949,-9.859,0,0.015,0.006,0.009
NGC3953,NGC 3953,-9.95,0,0.025,0.005,0.006
NGC3972,NGC 3972,-10.494,0,0.035,0.005,0.006
NGC3992,NGC 3992,-10.447,0,0.029,0.005,0.007
NGC4010,NGC 4010,-10.623,0,0.025,0.005,0.006
NGC4013,NGC 4013,-10.686,0,0.027,0.004,0.005
NGC4051,NGC 4051,-10.191,0,0.023,0.005,0.007
NGC4068,NGC 4068,-11.173,0,0.027,0.006,0.007
NGC4085,NGC 4085,-10.142,0,0.024,0.003,0.004
NGC4088,NGC 4088,-10.303,0,0.031,0.004,0.005
NGC4100,NGC 4100,-10.442,0,0.023,0.004,0.005
