galaxy,R_kpc,Vobs_kms,e_Vobs_kms,gobs_mps2,gbar_mps2,gpred_mps2,log10_gobs,log10_gbar,log10_gpred,delta_dex
CamB,0.16,1.99,1.5,8.021131290080394e-13,2.124908088041714e-12,1.705438458838399e-11,-12.09576437505865,-11.672659850422885,-10.768163947595847,-1.3276004274628033
CamB,0.41,4.84,1.5,1.851639007873364e-12,4.965352083982456e-12,2.6976667427650475e-11,-11.732443678653048,-11.304049951053917,-10.569011702076113,-1.1634319765769359
CamB,0.57,6.79,1.5,2.6212844287451225e-12,5.72087945272373e-12,2.916570092830516e-11,-11.581485852333627,-11.242537203356246,-10.53512758187284,-1.0463582704607859
CamB,0.73,8.87,1.5,3.4928009325710326e-12,6.213066673893792e-12,3.0529334271203346e-11,-11.456826165679141,-11.206693985844668,-10.515282665910808,-0.9415434997683327
CamB,0.9,10.9,1.5,4.278188748654278e-12,6.11761546381825e-12,3.0268352488455885e-11,-11.368740058780215,-11.213417825028744,-10.519011217122207,-0.849728841658008
CamB,1.06,12.9,1.5,5.087717750532423e-12,5.728303637175385e-12,2.918661107155592e-11,-11.293476989888411,-11.241973969671085,-10.534816329073864,-0.758660660814547
CamB,1.22,14.7,1.5,5.7401639070166624e-12,5.0153888545088644e-12,2.7125642960589034e-11,-11.241075706400535,-11.299695389498883,-10.566619958915709,-0.6744557474848261
CamB,1.47,16.8,1.5,6.222296235733182e-12,4.226051150235344e-12,2.4698537297405724e-11,-11.20604931651859,-11.374065250745485,-10.607328765868887,-0.598720550649702
CamB,1.79,20.1,1.5,7.314565590661553e-12,2.8769094791518544e-12,2.005590349542997e-11,-11.135811461361055,-11.541073802803215,-10.697757768773767,-0.4380536925872871
D512-2,0.96,22.9,2.71,1.770309444976583e-11,4.2841633728338964e-12,2.4883263283854623e-11,-10.751950813581931,-11.368133976083088,-10.604092665249839,-0.14785814833209265
D512-2,1.92,33.5,2.71,1.894252373739031e-11,4.450292133253161e-12,2.5405719007522994e-11,-10.722562159851998,-11.351611479424557,-10.595068509607021,-0.12749365024497727
D512-2,2.88,37.2,4.19,1.5571944485780173e-11,3.0028892105403496e-12,2.0523813941003626e-11,-10.807657153217574,-11.522460690491181,-10.687741931103073,-0.11991522211450167
D512-2,3.83,35.9,5.98,1.0905349232451155e-11,2.2596718596845798e-12,1.762262353469295e-11,-10.962360422034124,-11.645954622744236,-10.753929436342586,-0.20843098569153717
