z,mu,sigma
0.02509000,35.25995000,0.17730000
0.02510000,35.08017000,0.16410000
0.02510000,34.98002000,0.13310000
0.02512000,35.13565000,0.12110000
0.02517000,35.21658000,0.15590000
0.02519000,35.23294000,0.12460000
0.02534000,35.34029000,0.11350000
0.02534000,35.30465000,0.11050000
0.02556000,35.26944000,0.15160000
0.02557000,35.20203000,0.12200000
0.02591000,35.33251000,0.11460000
0.02598000,35.16595000,0.13910000
0.02598000,35.36794000,0.11680000
0.02669000,35.48988000,0.10580000
0.02695000,35.32860000,0.10320000
0.02713000,35.38339000,0.11560000
0.02731000,35.42170000,0.14500000
0.02740000,35.40320000,0.22190000
0.02741000,35.58097000,0.14460000
0.02748000,35.27905000,0.09940000
0.02823000,35.63531000,0.12010000
0.02833000,35.33929000,0.14790000
0.02844000,35.46983000,0.09700000
0.02849000,35.45147000,0.09940000
0.02849000,35.47203000,0.17560000
0.02857000,35.54768000,0.16700000
0.02858000,35.56905000,0.13700000
0.02866000,35.58174000,0.12410000
0.02898000,35.52838000,0.17710000
0.02902000,35.17845000,0.13570000
0.02915000,35.81677000,0.10460000
0.02919000,35.74741000,0.11390000
0.02938000,35.70388000,0.17070000
0.02938000,35.55198000,0.13470000
0.02944000,35.44070000,0.11010000
0.02953000,35.53344000,0.11190000
0.02956000,35.56537000,0.11690000
0.02969000,35.38500000,0.11630000
0.02978000,35.71706000,0.12510000
0.02990000,35.52993000,0.11140000
0.03012000,35.54730000,0.13690000
0.03023000,35.69492000,0.09210000
0.03031000,35.62306000,0.13360000
0.03036000,35.61376000,0.09070000
0.03059000,35.51070000,0.09970000
0.03071000,35.72373000,0.11210000
0.03083000,35.60979000,0.17330000
0.03086000,35.56461000,0.10150000
0.03117000,35.58907000,0.18130000
0.03120000,35.70509000,0.10080000
0.03134000,36.00315000,0.17910000
0.03143000,35.81350000,0.13020000
0.03143000,35.73926000,0.10370000
0.03148000,35.77221000,0.11080000
0.03174000,35.84381000,0.10680000
0.03192000,35.54453000,0.11580000
0.03201000,35.60595000,0.09620000
0.03243000,35.74894000,0.18450000
0.03255000,35.72144000,0.11050000
0.03264000,35.67592000,0.15680000
0.03264000,36.05743000,0.13010000
0.03267000,35.53403000,0.14970000
0.03272000,35.80144000,0.09600000
0.03282000,35.73067000,0.11900000
0.03289000,35.95132000,0.10580000
0.03290000,35.86396000,0.09890000
0.03296000,35.89486000,0.16890000
0.03298000,35.83813000,0.08620000
0.03333000,35.79166000,0.09110000
0.03335000,35.61700000,0.16200000
0.03341000,36.04919000,0.08980000
0.03371000,35.94327000,0.08790000
0.03373000,35.91770000,0.18350000
0.03378000,35.83146000,0.18650000
0.03393000,36.02516000,0.12640000
0.03428000,36.06484000,0.14530000
0.03437000,35.88308000,0.13470000
0.03451000,35.99496000,0.20900000
0.03479000,35.90221000,0.14760000
0.03491000,36.01126000,0.13440000
0.03512000,36.01851000,0.10080000
0.03516000,35.99892000,0.12630000
0.03529000,35.95730000,0.09500000
0.03551000,36.00256000,0.22890000
0.03568000,36.38234000,0.09090000
0.03599000,36.14277000,0.09070000
0.03624000,36.32659000,0.11210000
0.03635000,36.14299000,0.11320000
0.03682000,36.11617000,0.08950000
0.03702000,36.05893000,0.13370000
0.03705000,36.05504000,0.09330000
0.03725000,36.01068000,0.11250000
0.03730000,36.00728000,0.12110000
0.03740000,36.13761000,0.10170000
0.03753000,36.16609000,0.12960000
0.03756000,36.30183000,0.12240000
0.03787000,36.25411000,0.10000000
0.03796000,36.20641000,0.11630000
0.03818000,36.04309000,0.09320000
0.03828000,36.24514000,0.09940000
0.03848000,36.31572000,0.09420000
0.03873000,36.12057000,0.10440000
0.03884000,36.17443000,0.12620000
0.03902000,36.15798000,0.14990000
0.03909000,36.37011000,0.11670000
0.04035000,36.43433000,0.15030000
0.04056000,36.16885000,0.10170000
0.04077000,36.15319000,0.11670000
0.04089000,36.24039000,0.09520000
0.04095000,36.48436000,0.13910000
0.04099000,36.20463000,0.09630000
0.04101000,36.41367000,0.09270000
0.04268000,36.40134000,0.10650000
0.04285000,36.24371000,0.10920000
0.04289000,36.45301000,0.07930000
0.04306000,36.27389000,0.15400000
0.04349000,36.36083000,0.08830000
0.04349000,36.57204000,0.09200000
0.04369000,36.40534000,0.10030000
0.04438000,36.55894000,0.13430000
0.04439000,36.42577000,0.16210000
0.04545000,36.57682000,0.11730000
0.04575000,36.69777000,0.08720000
0.04583000,36.44319000,0.10130000
0.04590000,36.48276000,0.11710000
0.04625000,36.31584000,0.17170000
0.04631000,36.71175000,0.07590000
0.04643000,36.44687000,0.12310000
0.04664000,36.54971000,0.13150000
0.04682000,36.57974000,0.09450000
0.04691000,36.75031000,0.16480000
0.04738000,36.64349000,0.15120000
0.04760000,36.71459000,0.09420000
0.04777000,36.71031000,0.07700000
0.04777000,36.59991000,0.11150000
0.04819000,36.59722000,0.09350000
0.04837000,36.70692000,0.07650000
0.04865000,36.85198000,0.10380000
0.04940000,36.70592000,0.09150000
0.04944000,36.83597000,0.11590000
0.04989000,36.69189000,0.09560000
0.05023000,36.97734000,0.09030000
0.05032000,36.64724000,0.19810000
0.05044000,36.61242000,0.12050000
0.05049000,36.62315000,0.09470000
0.05066000,36.87577000,0.19490000
0.05106000,36.86014000,0.09650000
0.05126000,36.49961000,0.13330000
0.05151000,36.79875000,0.07480000
0.05222000,36.98666000,0.12720000
0.05262000,37.02932000,0.10200000
0.05309000,36.98166000,0.07950000
0.05316000,36.98605000,0.10320000
0.05346000,36.98406000,0.07830000
0.05468000,36.90225000,0.09390000
0.05469000,37.04340000,0.06800000
