z,observable,value,sigma
0.29500000,DV_over_rd,7.94167639,0.07609196
0.51000000,DM_over_rd,13.58758434,0.16836678
0.51000000,DH_over_rd,21.86294686,0.42886832
0.70600000,DM_over_rd,17.35069094,0.17993122
0.70600000,DH_over_rd,19.45534918,0.33387003
0.93400000,DM_over_rd,21.57563956,0.16178159
0.93400000,DH_over_rd,17.64149464,0.20104325
1.32100000,DM_over_rd,27.60085612,0.32455588
1.32100000,DH_over_rd,14.17602155,0.22455135
1.48400000,DM_over_rd,30.51190063,0.76355764
1.48400000,DH_over_rd,12.81699964,0.51801177
2.33000000,DH_over_rd,8.63154567,0.10106245
2.33000000,DM_over_rd,38.98897396,0.53168203
