z,mu,sigma
0.01016000,13.52640000,0.34750000
0.01017000,13.66520000,0.36422400
0.01017000,13.71440000,0.34081000
0.01026000,14.08480000,0.30510100
0.01026000,13.97230000,0.29786500
0.01042000,13.87060000,0.31607600
0.01073000,13.85510000,0.36366700
0.01096000,14.31790000,0.31369800
0.01114000,14.48070000,0.34142100
0.01114000,14.38390000,0.29398300
0.01122000,14.58170000,0.35287800
0.01122000,14.18060000,0.28213500
0.01122000,14.24170000,0.32405000
0.01155000,14.33030000,0.27987000
0.01195000,14.24440000,0.30029000
0.01213000,14.62530000,0.34532700
0.01220000,14.44930000,0.26529600
0.01233000,14.48730000,0.25269700
0.01246000,14.57560000,0.26373600
0.01258000,14.45500000,0.23924100
0.01258000,14.47160000,0.24863500
0.01259000,14.33440000,0.25865400
0.01259000,14.26480000,0.26481800
0.01279000,14.49620000,0.41578300
0.01283000,14.38350000,0.28610700
0.01283000,14.24980000,0.33002100
0.01303000,14.48250000,0.23825800
0.01303000,14.50770000,0.28594800
0.01304000,14.32220000,0.29131500
0.01304000,14.31430000,0.28350300
0.01325000,14.71520000,0.30249100
0.01325000,14.73160000,0.29817900
0.01325000,14.67170000,0.30340700
0.01375000,14.54400000,0.27654000
0.01375000,14.51530000,0.23120600
0.01375000,14.51900000,0.23420400
0.01376000,14.51190000,0.28752600
0.01386000,14.42110000,0.34431000
0.01388000,14.44380000,0.23196400
0.01389000,14.55230000,0.28753800
0.01389000,14.41210000,0.29497300
0.01411000,14.56760000,0.24941600
0.01424000,14.59140000,0.26411200
0.01442000,14.76570000,0.30600500
0.01442000,14.77190000,0.35130200
0.01442000,15.08360000,0.36973100
0.01442000,14.92510000,0.39598800
0.01442000,14.99900000,0.39631700
0.01446000,14.65480000,0.23899400
0.01450000,14.91970000,0.36402900
0.01453000,14.49960000,0.21460800
0.01460000,14.62960000,0.24785000
0.01462000,14.67230000,0.24242900
0.01463000,14.50230000,0.38957100
0.01463000,14.46590000,0.39189100
0.01467000,14.63860000,0.23917500
0.01472000,14.53640000,0.39643400
0.01484000,14.75790000,0.26886900
0.01492000,14.93720000,0.37169400
0.01493000,14.59940000,0.27624100
0.01499000,14.72100000,0.22797100
0.01499000,14.67310000,0.23013000
0.01515000,14.63470000,0.29374700
0.01519000,14.92630000,0.26540000
0.01525000,14.51760000,0.30098200
0.01529000,14.78040000,0.34324500
0.01542000,15.08960000,0.37190900
0.01543000,14.82140000,0.31370200
0.01546000,14.78010000,0.22485000
0.01549000,15.02020000,0.33928800
0.01550000,15.00510000,0.27118700
0.01550000,14.95820000,0.25665500
0.01550000,14.74640000,0.28504500
0.01550000,14.63220000,0.31276900
0.01557000,14.53720000,0.28932000
0.01557000,14.55420000,0.28913700
0.01562000,14.92020000,0.26298100
0.01562000,14.87720000,0.33321800
0.01565000,15.07870000,0.27740200
0.01576000,14.91270000,0.28560700
0.01578000,14.74560000,0.21827300
0.01578000,14.81670000,0.28912400
0.01581000,14.73960000,0.23776100
0.01581000,14.64740000,0.21732300
0.01587000,15.13860000,0.26899000
0.01588000,14.77570000,0.22319700
0.01590000,14.91330000,0.24138800
0.01590000,14.87930000,0.20772400
0.01590000,14.77990000,0.27117000
0.01603000,14.85320000,0.28028400
0.01652000,15.16070000,0.34531600
0.01652000,14.74690000,0.33363800
0.01656000,14.90780000,0.21643900
0.01657000,14.71960000,0.41440100
0.01662000,15.02630000,0.26052100
0.01666000,15.08780000,0.19617400
0.01671000,14.64550000,0.24389400
