family,relation,value,target_label,target_value,error_frac,error_pct,unit_sensitive,p_any_same_family,p_any_global
koide_mass,"Q(m_e, m_mu, m_tau)",0.6666608359108475,2/3,0.6666666666666666,8.746133728754213e-06,0.0008746133728754213,False,0.12988701129887012,0.21907809219078092
koide_mass,"Q(m_mu, m_s, M_W)",0.8750376033183008,7/8,0.875,4.2975220915231205e-05,0.0042975220915231205,False,0.5071492850714928,0.7111288871112889
koide_dimless,"Q(alpha_em, alpha_s, sin2_theta_w)",0.4285371323099832,3/7,0.42857142857142855,8.00246100391607e-05,0.00800246100391607,False,0.2348765123487651,0.9021097890210978
koide_dimless,"Q(ckm_s23, pmns_s23, pmns_s13)",0.4444961059908119,4/9,0.4444444444444444,0.00011623847932684672,0.011623847932684672,False,0.3254674532546745,0.9661033896610339
sum_rule,"S(ew_bosons; p=-0.5, q=0.0, r=-1.0)",0.9168446890778772,11/12,0.9166666666666666,0.00019420626677516236,0.019420626677516237,True,0.559044095590441,0.9962003799620038
sum_rule,"S(ew_bosons; p=0.0, q=-0.5, r=-1.0)",0.9168446890778772,11/12,0.9166666666666666,0.00019420626677516236,0.019420626677516237,True,0.559044095590441,0.9962003799620038
sum_rule,"S(all_quarks; p=1.0, q=0.5, r=2.0)",0.6365038875028305,7/11,0.6363636363636364,0.0002203946473050714,0.02203946473050714,True,0.6018398160183982,0.9981001899810019
sum_rule,"S(all_mass_scales; p=0.5, q=-0.5, r=1.0)",0.7144554897921646,5/7,0.7142857142857143,0.00023768570903035525,0.023768570903035524,True,0.631036896310369,0.9988001199880012
koide_mass,"Q(m_mu, m_c, m_b)",0.4544319363394112,5/11,0.45454545454545453,0.000249740053295322,0.0249740053295322,False,0.9854014598540146,0.9989001099890011
koide_dimless,"Q(alpha_s, pmns_s23, pmns_s13)",0.40010521246230474,2/5,0.4,0.00026303115576178926,0.026303115576178926,False,0.5784421557844216,0.999000099990001
koide_mass,"Q(m_d, M_Z, M_H)",0.49984650327782687,1/2,0.5,0.00030699344434625964,0.030699344434625964,False,0.9948005199480052,0.9997000299970003
sum_rule,"S(up_quarks; p=0.5, q=-0.5, r=1.0)",0.6365646962015048,7/11,0.6363636363636364,0.0003159511737932703,0.03159511737932703,True,0.7385261473852615,0.9997000299970003
koide_dimless,"Q(ckm_s12, ckm_s13, pmns_s23)",0.499836425138037,1/2,0.5,0.0003271497239260013,0.03271497239260013,False,0.6581341865813418,0.9998000199980002
sum_rule,"S(up_quarks; p=1.0, q=-1.0, r=1.0)",0.37485682188459135,3/8,0.375,0.00038180830775639646,0.03818083077563965,True,0.802019798020198,1.0
ratio_mass,m_c/m_s,13.597430406852249,5e/1,13.591409142295225,0.00044301988807667276,0.044301988807667274,False,0.6085391460853915,1.0
ratio_mass,M_Z/M_W,1.1344986749940904,sqrt(9/7),1.1338934190276817,0.0005337855888851631,0.053378558888516316,False,0.678932106789321,1.0
ratio_dimless,ckm_s12/ckm_s23,5.433376537841021,2e/1,5.43656365691809,0.0005862377925096018,0.05862377925096018,False,0.7957204279572043,1.0
koide_dimless,"Q(alpha_em, pmns_s12, pmns_s23)",0.4548121273242127,5/11,0.45454545454545453,0.0005866801132680233,0.058668011326802334,False,0.8543145685431457,1.0
ratio_mass,m_tau/m_c,1.3991023622047245,7/5,1.4,0.0006411698537681484,0.06411698537681484,False,0.7470252974702529,1.0
ratio_dimless,pmns_s23/sin2_theta_w,3.2640324376038925,6e/5,3.261938194150854,0.0006420242593173443,0.06420242593173443,False,0.828017198280172,1.0
koide_mass,"Q(m_mu, m_d, m_s)",0.41695915420762825,5/12,0.4166666666666667,0.000701970098307747,0.0701970098307747,False,1.0,1.0
sum_rule,"S(down_quarks; p=0.0, q=-0.5, r=0.5)",0.699483312218158,7/10,0.7,0.0007381254026314225,0.07381254026314225,True,0.9612038796120388,1.0
koide_mass,"Q(m_tau, m_u, M_Z)",0.778379235320852,7/9,0.7777777777777778,0.0007733025553810739,0.07733025553810739,False,1.0,1.0
koide_mass,"Q(m_d, m_t, M_H)",0.50038891165403,1/2,0.5,0.0007778233080599772,0.07778233080599772,False,1.0,1.0
koide_dimless,"Q(sin2_theta_w, ckm_s12, pmns_s23)",0.3639232342063319,4/11,0.36363636363636365,0.0007888940674126432,0.07888940674126432,False,0.9218078192180782,1.0
koide_mass,"Q(m_e, m_u, m_c)",0.8896854019509128,8/9,0.8888888888888888,0.0008960771947769952,0.08960771947769952,False,1.0,1.0
koide_mass,"Q(m_tau, m_t, M_H)",0.4549743634849964,5/11,0.45454545454545453,0.0009435996669921676,0.09435996669921676,False,1.0,1.0
koide_dimless,"Q(ckm_s23, ckm_s13, pmns_s23)",0.6243808290889487,5/8,0.625,0.0009906734576821564,0.09906734576821563,False,0.9588041195880412,1.0
