family,relation,value,target_label,target_value,relative_error,percent_error,global_p_value,note
koide_raw_all,"Q(m_e, m_mu, m_tau)",0.6666644634145003,2/3,0.666666666666667,3.3048782500655337e-06,0.0003304878250065534,0.47455254474552544,Raw prompt-unit triple scan.
koide_mass_only,"Q(m_e, m_mu, m_tau)",0.6666644634145003,2/3,0.666666666666667,3.3048782500655337e-06,0.0003304878250065534,0.47455254474552544,
koide_raw_all,"Q(m_mu, m_s, M_W)",0.8750033866814793,7/8,0.875,3.870493119149744e-06,0.0003870493119149744,0.5273472652734726,Raw prompt-unit triple scan.
koide_mass_only,"Q(m_mu, m_s, M_W)",0.8750033866814793,7/8,0.875,3.870493119149744e-06,0.0003870493119149744,0.5273472652734726,
koide_raw_all,"Q(m_c, m_t, M_H)",0.46154613898822827,6/13,0.461538461538462,1.66344744935709e-05,0.00166344744935709,0.9636036396360363,Raw prompt-unit triple scan.
koide_mass_only,"Q(m_c, m_t, M_H)",0.46154613898822827,6/13,0.461538461538462,1.66344744935709e-05,0.00166344744935709,0.9636036396360363,
koide_raw_all,"Q(m_e, theta12_ckm_deg, M_Z)",0.5999890349932496,3/5,0.6,1.827501125058658e-05,0.001827501125058658,0.9734026597340266,Raw prompt-unit triple scan.
sum_rules,"S[p=-0.5, q=0.5, r=1](up_type_quarks)",1.5707550405857855,1/2*pi,1.570796326794897,2.6283617046470515e-05,0.0026283617046470513,0.9953004699530047,
koide_raw_all,"Q(m_d, dm2_21, theta23_ckm_deg)",0.909060387780387,10/11,0.909090909090909,3.357344157414178e-05,0.003357344157414178,0.9986001399860014,Raw prompt-unit triple scan.
koide_raw_all,"Q(dm2_32_abs, theta13_pmns_deg, M_W)",0.6249749574921651,5/8,0.625,4.006801253577663e-05,0.004006801253577663,0.9998000199980002,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_d, m_c, m_t)",0.8461890447848872,11/13,0.846153846153846,4.159838213957379e-05,0.0041598382139573795,0.9998000199980002,Raw prompt-unit triple scan.
koide_mass_only,"Q(m_d, m_c, m_t)",0.8461890447848872,11/13,0.846153846153846,4.159838213957379e-05,0.0041598382139573795,0.9998000199980002,
koide_raw_all,"Q(m_s, m_t, alpha_s_MZ)",0.909132439821228,10/11,0.909090909090909,4.5683803351004313e-05,0.004568380335100431,0.9998000199980002,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_u, m_c, theta13_ckm_deg)",0.555528845037804,5/9,0.555555555555556,4.80789319536878e-05,0.00480789319536878,0.9998000199980002,Raw prompt-unit triple scan.
sum_rules,"S[p=1, q=0.5, r=2](all_quarks)",0.6363328808801536,7/11,0.636363636363636,4.8330045472365185e-05,0.004833004547236518,0.9998000199980002,
koide_raw_all,"Q(m_e, m_c, theta13_ckm_deg)",0.5714562533522306,4/7,0.571428571428571,4.844336640438822e-05,0.004844336640438822,0.9998000199980002,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_e, m_s, theta12_ckm_deg)",0.8461109946335267,11/13,0.846153846153846,5.0642705831963326e-05,0.005064270583196332,0.9999000099990001,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_u, theta12_pmns_deg, sin2_thetaW)",0.8461057781082072,11/13,0.846153846153846,5.680769030044523e-05,0.005680769030044523,1.0,Raw prompt-unit triple scan.
koide_raw_all,"Q(m_mu, m_c, alpha_em_MZ)",0.5832994464531066,7/12,0.583333333333333,5.8091794673880495e-05,0.0058091794673880495,1.0,Raw prompt-unit triple scan.
