cluster,z,log10_M200c_Msun,temperature_keV,Mgas_1e14_Msun,deltaM_1e14_Msun,log10_eta,cutoff_mpc,disequilibrium,source,eta,deltaM_over_Mgas
MACS0329,0.45,14.83,8.0,1.13,1.79,1.27,0.24,1,Famaey et al. 2025 + Mistele et al. 2025,18.620871366628677,1.5840707964601772
MACS1115,0.352,15.32,8.0,2.03,3.17,0.66,1.4,0,Famaey et al. 2025 + Mistele et al. 2025,4.570881896148751,1.5615763546798032
MS2137,0.313,15.07,5.9,0.77,2.73,0.7,4.14,1,Famaey et al. 2025 + Mistele et al. 2025,5.011872336272722,3.5454545454545454
RXJ1347,0.451,15.44,15.5,5.28,7.71,0.81,1.61,1,Famaey et al. 2025 + Mistele et al. 2025,6.456542290346556,1.4602272727272727
RXJ2129,0.234,14.96,5.8,1.03,0.85,1.06,0.23,0,Famaey et al. 2025 + Mistele et al. 2025,11.481536214968829,0.8252427184466019
A209,0.206,15.29,7.3,2.33,2.88,0.91,0.6,1,Famaey et al. 2025 + Mistele et al. 2025,8.128305161640993,1.2360515021459226
A611,0.288,15.15,7.9,1.62,2.99,1.12,0.48,0,Famaey et al. 2025 + Mistele et al. 2025,13.182567385564074,1.845679012345679
A2261,0.224,15.28,7.6,3.32,4.46,1.05,0.65,0,Famaey et al. 2025 + Mistele et al. 2025,11.220184543019636,1.3433734939759037
MACS0416,0.396,14.94,7.5,1.58,1.61,1.28,0.19,1,Famaey et al. 2025 + Mistele et al. 2025,19.054607179632473,1.018987341772152
MACS0429,0.399,15.06,6.0,1.46,1.61,1.03,0.38,0,Famaey et al. 2025 + Mistele et al. 2025,10.715193052376065,1.1027397260273974
MACS0647,0.584,14.97,13.3,1.28,2.95,1.07,0.35,1,Famaey et al. 2025 + Mistele et al. 2025,11.748975549395297,2.3046875
MACS0744,0.686,15.19,8.9,2.22,4.18,1.01,0.55,0,Famaey et al. 2025 + Mistele et al. 2025,10.232929922807541,1.8828828828828825
MACS1149,0.544,15.42,8.7,4.84,4.65,1.07,0.38,1,Famaey et al. 2025 + Mistele et al. 2025,11.748975549395297,0.9607438016528926
MACS1206,0.44,15.22,10.8,2.97,3.24,0.98,0.4,0,Famaey et al. 2025 + Mistele et al. 2025,9.549925860214358,1.0909090909090908
MACS1720,0.391,15.07,6.6,1.58,2.83,1.08,0.46,0,Famaey et al. 2025 + Mistele et al. 2025,12.02264434617413,1.7911392405063291
RXJ2248,0.348,15.17,12.4,2.83,2.55,0.81,0.39,1,Famaey et al. 2025 + Mistele et al. 2025,6.456542290346556,0.901060070671378
