galaxy,Q,T,D_mpc,e_D_mpc,distance_frac_error,Inc_deg,e_Inc_deg,SBeff_Lsun_pc2,Rdisk_kpc,Vflat_kms,Vmax_kms,n_points,mean_frac_v_error,median_frac_v_error,L36_1e9Lsun,Lbul_1e9Lsun,Mstar_1e9Msun,Mgas_1e9Msun,Mbar_1e9Msun,gas_fraction,mean_residual_dex,median_residual_dex,std_residual_dex,eenv,eenv_err_lo,eenv_err_hi,x0_chae2020,x0_missing_flag,galaxy_raw_chae2020
CamB,2.0,10.0,3.36,0.26,0.07738095238095238,65.0,5.0,7.89,0.47,0.0,20.1,9.0,0.21928397882654505,0.13761467889908258,0.075,0.0,0.0375,0.015960000000000002,0.05346,0.2985409652076319,-0.8665059630514698,-0.849728841658008,0.28346657397588476,0.021,0.003,0.004,-11.736,0,CamB
D512-2,2.0,10.0,15.2,4.56,0.3,56.0,10.0,9.22,1.24,0.0,37.2,4.0,0.11961108962497774,0.11548750997793117,0.325,0.0,0.1625,0.10773,0.27023,0.39866040039965955,-0.1509245015957772,-0.13767589928853496,0.040112252676560656,0.035,0.005,0.006,-11.423,0,D512-2
D564-8,2.0,10.0,8.79,0.28,0.031854379977246876,63.0,7.0,10.11,0.61,0.0,25.0,6.0,0.10121641764149253,0.08700705687007057,0.033,0.0,0.0165,0.03857000000000001,0.05507000000000001,0.7003813328491012,-0.3072429199397814,-0.25565972844316764,0.13686145184123694,0.028,0.004,0.005,-11.987,0,D564-8
D631-7,1.0,10.0,7.72,0.18,0.023316062176165803,59.0,3.0,20.93,0.7,57.7,58.5,16.0,0.06694441258841952,0.05422135920413722,0.196,0.0,0.098,0.3857,0.4837,0.7973950795947901,-0.20563866766795458,-0.13771833860047877,0.25454398136434314,0.023,0.003,0.004,-11.41,0,D631-7
DDO064,1.0,10.0,6.8,2.04,0.3,60.0,5.0,17.41,0.69,46.1,46.9,14.0,0.21271342008592226,0.15969136304489265,0.157,0.0,0.0785,0.28063,0.35913,0.7814162002617436,-0.020352697168196876,-0.05750469198248176,0.15287649945333498,0.029,0.005,0.006,-11.08,0,DDO 064
DDO154,2.0,10.0,4.04,0.2,0.04950495049504951,64.0,3.0,19.99,0.37,47.0,48.2,12.0,0.023160954571728464,0.013512696127650823,0.053,0.0,0.0265,0.3657500000000001,0.3922500000000001,0.9324410452517526,-0.11137049549124696,-0.0639823144025291,0.10306881351630748,0.03,0.005,0.006,-11.526,0,DDO 154
DDO161,1.0,10.0,7.5,2.25,0.3,70.0,10.0,20.74,1.22,66.3,67.5,31.0,0.0729340342365859,0.035479041916167665,0.548,0.0,0.274,1.83274,2.1067400000000003,0.8699412362227896,-0.2974013631575522,-0.2601248013527506,0.08199640829218675,0.031,0.008,0.011,-11.281,0,DDO 161
DDO168,2.0,10.0,4.25,0.21,0.04941176470588235,63.0,6.0,18.23,1.02,53.4,55.0,10.0,0.06283378354318161,0.04280026542800266,0.191,0.0,0.0955,0.54929,0.64479,0.8518897625583522,-0.1639530942295048,-0.11208694543842501,0.14967336462590172,0.028,0.004,0.005,-10.931,0,DDO 168
DDO170,2.0,10.0,15.4,4.62,0.3,66.0,7.0,9.39,1.95,60.0,62.2,8.0,0.032195998667498796,0.019693301049233253,0.543,0.0,0.2715,0.97755,1.24905,0.7826348024498619,-0.2017224771616417,-0.20636009859027382,0.04920099399308117,0.049,0.007,0.008,-11.461,0,DDO 170
ESO079-G014,1.0,4.0,28.7,7.17,0.24982578397212543,79.0,5.0,157.34,5.08,175.0,178.0,15.0,0.08100359947800255,0.05245098039215686,51.733,0.0,25.8665,4.176200000000001,30.0427,0.1390088107926385,0.011454681320373201,0.038999373091925804,0.10144719724730862,0.014,0.002,0.002,-10.517,0,ESO 079-G014
ESO116-G012,1.0,7.0,13.0,3.9,0.3,74.0,3.0,90.54,1.51,109.1,112.0,15.0,0.04607351487347965,0.03697478991596639,4.292,0.0,2.146,1.44039,3.5863899999999997,0.40162670540571443,0.05568049395621972,0.07385275046533124,0.06445094662514278,0.016,0.003,0.003,-10.715,0,ESO 116-G012
ESO444-G084,2.0,10.0,4.83,0.48,0.09937888198757763,32.0,6.0,19.81,0.46,0.0,63.1,7.0,0.07092453198287471,0.08498583569405099,0.071,0.0,0.0355,0.17955000000000002,0.21505000000000002,0.8349221111369449,0.1741647687435291,0.16940741453075425,0.05982539563302592,0.031,0.007,0.009,-11.071,0,ESO 444-G084
ESO563-G021,1.0,4.0,60.8,9.1,0.14967105263157895,83.0,3.0,429.37,5.45,314.6,321.0,30.0,0.054043037357042537,0.030256071303389916,311.177,0.0,155.5885,32.31634,187.90484,0.17198247793936544,0.06143978166194988,0.13497446474529617,0.24928855932405122,0.034,0.012,0.018,-10.059,0,ESO 563-G021
