sample,x_key,y_key,label,n_galaxies,spearman_rho,p_value
all,Vmax_kms,mean_residual_dex,Residual vs Vmax (all Q<=2),163,0.32354836076486143,2.5213333428716736e-05
all,Q,mean_residual_dex,Residual vs quality flag,163,-0.3091805510104103,5.923990877425555e-05
all,mean_frac_v_error,mean_residual_dex,Residual vs mean fractional V error,163,-0.2578044901103408,0.0008923356902224268
all,median_frac_v_error,mean_residual_dex,Residual vs median fractional V error,163,-0.21130729712205099,0.006775673316609842
all,n_points,mean_residual_dex,Residual vs number of RC points,163,0.2110472663821366,0.006845590050006031
all,Q,Vmax_kms,Vmax vs quality flag,163,-0.3361521988991365,1.1491163639636207e-05
all,mean_frac_v_error,Vmax_kms,Vmax vs mean fractional V error,163,-0.5881610468530118,1.517131620887653e-16
all,median_frac_v_error,Vmax_kms,Vmax vs median fractional V error,163,-0.5952063933920502,5.339778671850409e-17
Q=1,Vmax_kms,mean_residual_dex,Residual vs Vmax within Q=1,99,0.09683105131160938,0.34035523370499765
Q=2,Vmax_kms,mean_residual_dex,Residual vs Vmax within Q=2,64,0.5205247374243578,1.0385028538727828e-05
Inc>30,Vmax_kms,mean_residual_dex,Residual vs Vmax with Inc>30 deg,149,0.31949188363944114,7.13746155867586e-05
"Inc>30,Q=1",Vmax_kms,mean_residual_dex,Residual vs Vmax with Inc>30 deg and Q=1,93,0.1314990414152831,0.2089551198020114
"Inc>30,Q=2",Vmax_kms,mean_residual_dex,Residual vs Vmax with Inc>30 deg and Q=2,56,0.5179944635446149,4.335141075202338e-05
